chunk_id,source,source_label,num,section_path,titre,texte,etat,date_debut,date_fin,legiarti_id,url
cgi-768,cgi_dettes_defunt,CGI,768,,,"Pour la liquidation des droits de mutation par décès, les dettes à la charge du défunt sont déduites lorsque leur existence au jour de l'ouverture de la succession est dûment justifiée par tous modes de preuve compatibles avec la procédure écrite.",VIGUEUR,1979-07-01,2999-01-01,LEGIARTI000006305392,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006305392
cgi-769,cgi_dettes_defunt,CGI,769,,,"Les dettes à la charge du défunt, qui ont été contractées pour l'achat de biens compris dans la succession et exonérés des droits de mutation par décès ou dans l'intérêt de tels biens, sont imputées par priorité sur la valeur desdits biens. Il en est de même des dettes garanties par des biens exonérés des droits de mutation par décès, lorsqu'il est établi que le ou les emprunts ont été contractés par le de cujus ou son conjoint en vue de soustraire tout ou partie de son patrimoine à l'application de ces droits.",VIGUEUR,1979-07-01,2999-01-01,LEGIARTI000006305393,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006305393
cgi-770,cgi_dettes_defunt,CGI,770,,,"Les dettes dont la déduction est demandée sont détaillées, article par article, dans un inventaire certifié par le déposant et annexé à la déclaration de la succession. A l'appui de leur demande, les héritiers ou leurs représentants doivent indiquer, soit la date de l'acte, le nom et la résidence de l'officier public qui l'a reçu, soit la date de la décision judiciaire et la juridiction dont elle émane. Ils doivent représenter les autres titres, actes ou écrits que le créancier ne peut, sous peine de dommages-intérêts, se refuser à communiquer sous récépissé.",VIGUEUR,1979-07-01,2999-01-01,LEGIARTI000006305394,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006305394
cgi-774,cgi_dettes_defunt,CGI,774,,,"Par dérogation aux dispositions du 2° de l'article 773, l'existence et la sincérité des dettes résultant de l'application des articles L. 321-13 et suivants du code rural et de la pêche maritime sont suffisamment prouvées à l'égard de l'administration par tous actes et écrits, même postérieurs au décès d'un exploitant agricole, susceptibles de faire preuve en justice entre les cohéritiers ou représentants de l'exploitant. L'héritier créancier de la succession est toutefois tenu de fournir, dans les formes et suivant les règles déterminées par l' article L. 20 du livre des procédures fiscales , une attestation, datée et signée par lui, mentionnant le montant de sa créance sur la succession de l'exploitant.",VIGUEUR,2010-05-08,2999-01-01,LEGIARTI000022328750,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022328750
cgi-773,cgi_dettes_defunt,CGI,773,,,"Toutefois ne sont pas déductibles : 1° Les dettes échues depuis plus de trois mois avant l'ouverture de la succession, à moins qu'il ne soit produit une attestation du créancier en certifiant l'existence à cette époque, dans la forme et suivant les règles déterminées à l'article L. 20 du livre des procédures fiscales ; 2° Les dettes consenties par le défunt au profit de ses héritiers ou de personnes interposées. Sont réputées personnes interposées les personnes désignées dans l'article 911 , dernier alinéa, du code civil. Néanmoins, lorsque la dette a été consentie par un acte authentique ou par un acte sous-seing privé ayant date certaine avant l'ouverture de la succession autrement que par le décès d'une des parties contractantes, les héritiers, donataires et légataires, et les personnes réputées interposées ont le droit de prouver la sincérité de cette dette et son existence au jour de l'ouverture de la succession ; 3° Les dettes reconnues par testament ; 4° Les dettes hypothécaires garanties par une inscription périmée depuis plus de trois mois, à moins qu'il ne s'agisse d'une dette non échue et que l'existence n'en soit attestée par le créancier dans les formes prévues à l'article L. 20 du livre des procédures fiscales ; si l'inscription n'est pas périmée, mais si le chiffre en a été réduit, l'excédent est seul déduit, s'il y a lieu ; 5° Les dettes en capital et intérêts pour lesquelles le délai de prescription est accompli, à moins qu'il ne soit justifié que la prescription a été interrompue.",VIGUEUR,2013-06-07,2999-01-01,LEGIARTI000027517853,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000027517853
cgi-774bis,cgi_dettes_defunt,CGI,774 bis,,,"I.-Ne sont pas déductibles de l'actif successoral les dettes de restitution exigibles qui portent sur une somme d'argent dont le défunt s'était réservé l'usufruit. Le présent I ne s'applique ni aux dettes de restitution contractées sur le prix de cession d'un bien dont le défunt s'était réservé l'usufruit, sous réserve qu'il soit justifié que ces dettes n'ont pas été contractées dans un objectif principalement fiscal, ni aux usufruits qui résultent de l'application des articles 757 ou 1094-1 du code civil. II.-Par dérogation à l'article 1133 du présent code, la valeur correspondant à la dette de restitution non-déductible de l'actif successoral mentionnée au I du présent article donne lieu à la perception de droits de mutation par décès dus par le nu-propriétaire et calculés d'après le degré de parenté existant entre ce dernier et l'usufruitier, au moment de la succession ou de la constitution de l'usufruit, si les droits dus sont inférieurs. Pour la liquidation des droits dus lors de la succession, en application du présent II, l'article 784 ne s'applique ni sur la valeur des sommes d'argent dont le défunt s'était réservé l'usufruit ni sur celle des biens dont le défunt s'était réservé l'usufruit du prix de cession. Les droits acquittés lors de la constitution de l'usufruit sont imputés sur les droits dus par le nu-propriétaire, sans pouvoir donner lieu à restitution.",VIGUEUR,2023-12-31,2999-01-01,LEGIARTI000048777677,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000048777677
ca-l124-1,ca_assurances_responsabilite,Code des assurances,L124-1,,,"Dans les assurances de responsabilité, l'assureur n'est tenu que si, à la suite du fait dommageable prévu au contrat, une réclamation amiable ou judiciaire est faite à l'assuré par le tiers lésé.",VIGUEUR,1976-07-21,2999-01-01,LEGIARTI000006792604,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006792604
ca-l124-1-1,ca_assurances_responsabilite,Code des assurances,L124-1-1,,,"Au sens du présent chapitre, constitue un sinistre tout dommage ou ensemble de dommages causés à des tiers, engageant la responsabilité de l'assuré, résultant d'un fait dommageable et ayant donné lieu à une ou plusieurs réclamations. Le fait dommageable est celui qui constitue la cause génératrice du dommage. Un ensemble de faits dommageables ayant la même cause technique est assimilé à un fait dommageable unique.",VIGUEUR,2003-08-02,2999-01-01,LEGIARTI000006792605,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006792605
ca-l124-2,ca_assurances_responsabilite,Code des assurances,L124-2,,,"L'assureur peut stipuler qu'aucune reconnaissance de responsabilité, aucune transaction, intervenues en dehors de lui, ne lui sont opposables. L'aveu de la matérialité d'un fait ne peut être assimilé à la reconnaissance d'une responsabilité.",VIGUEUR,1976-07-21,2999-01-01,LEGIARTI000006792606,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006792606
ca-l124-4,ca_assurances_responsabilite,Code des assurances,L124-4,,,"Dans le cas prévu par l'article L. 25-1 du Code de la route, comme il est dit à cet article, ""l'assureur du propriétaire du véhicule est tenu de garantir dans les limites du contrat la réparation du dommage causé au tiers sauf recours, s'il y a lieu, contre la collectivité publique qui, par son fait, a causé le dommage ayant donné lieu à la responsabilité de l'assureur et sans qu'une majoration de prime puisse en résulter pour le propriétaire. Il est statué sur ce recours ainsi que sur toute action en responsabilité en cas de non-assurance du véhicule dans les conditions prévues par l' article 1er de la loi n° 57-1424 du 31 décembre 1957 "".",VIGUEUR,1976-07-21,2999-01-01,LEGIARTI000006792608,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000006792608
